id,url,nombre,precio,precio_por,marca,categoria,imagen
600805819,https://www.carrefour.es/supermercado/colorante-permanente-n-688-rojo-rubi-intensive-color-cream-palette-1-ud/R-600805819/p,Colorante permanente nº 6.88 rojo rubí Intensive Color Cream Palette 1 ud.,4.79,4.79 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/366264_00_1.jpg
VC4AECOMM-156758,https://www.carrefour.es/supermercado/coloracion-permanente-sin-amoniaco-formula-vegana-tono-60-castano-mocaccino-good-garnier-1-ud/R-VC4AECOMM-156758/p,Coloración permanente sin amoniaco fórmula vegana tono 6.0 castaño mocaccino Good Garnier 1 ud.,9.95,9.95 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/156758_00_1.jpg
prod860232,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-1-10-negro-intenso-oleo-intense-syoss-1-ud/R-prod860232/p,Tinte permanente sin amoniaco 1-10 negro intenso Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386250_00_1.jpg
521009545,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-3-castano-oscuro-llongueras-color-advance-1-ud/R-521009545/p,Tinte de cabello permanente tono 3 castaño oscuro Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/028627_00_1.jpg
prod560093,https://www.carrefour.es/supermercado/tinte-creme-n-53-chocolate-praline-loreal-excellence-1-ud/R-prod560093/p,Tinte creme nº 5.3 Chocolate Praliné L'Oréal Excellence 1 ud.,9.69,9.69 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/837016_00_1.jpg
VC4AECOMM-229442,https://www.carrefour.es/supermercado/tinte-permanente-tono-611-rubio-oscuro-ceniza-excellence-cool-creme-loreal-paris-1-ud/R-VC4AECOMM-229442/p,Tinte permanente tono 6.11 rubio oscuro ceniza Excellence Cool Creme L'Oréal Paris 1 ud.,9.69,9.69 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/229442_00_1.jpg
prod65240,https://www.carrefour.es/supermercado/colorante-permanente-n-82-rubio-beige-intensive-color-cream-palette-1-ud/R-prod65240/p,Colorante permanente nº 8.2 rubio beige Intensive Color Cream Palette 1 ud.,4.79,4.79 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/199597_00_1.jpg
prod860177,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-5-10-castano-claro-oleo-intense-syoss-1-ud/R-prod860177/p,Tinte permanente sin amoniaco 5-10 castaño claro Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386300_00_1.jpg
VC4AECOMM-778845,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-n-5u-castano-claro-excellence-universal-nudes-loreal-paris-1-ud/R-VC4AECOMM-778845/p,Tinte permanente sin amoníaco nº 5U castaño claro Excellence Universal Nudes L'Oréal Paris 1 ud.,10.29,10.29 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/778845_00_1.jpg
798020892,https://www.carrefour.es/supermercado/tinte-creme-gloss-n-426-castano-rojizo-loreal-casting-1-ud/R-798020892/p,Tinte Créme Gloss nº 426 Castaño rojizo L'Oréal Casting 1 ud.,6.59,6.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/796545_00_1.jpg
521010949,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-734-rubio-dorado-cobrizo-llongueras-color-advance-1-ud/R-521010949/p,Tinte de cabello permanente tono 7.34 rubio dorado cobrizo Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/790588_00_1.jpg
VC4AECOMM-229505,https://www.carrefour.es/supermercado/tinte-permanente-tono-811-rubio-claro-ceniza-excellence-cool-creme-loreal-paris-1-ud/R-VC4AECOMM-229505/p,Tinte permanente tono 8.11 rubio claro ceniza Excellence Cool Creme L'Oréal Paris 1 ud.,9.69,9.69 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/229505_00_1.jpg
600805805,https://www.carrefour.es/supermercado/colorante-permanente-n-46-castano-marron-intensive-color-cream-palette-1-ud/R-600805805/p,Colorante permanente nº 4.6 castaño marrón Intensive Color Cream Palette 1 ud.,4.79,4.79 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/366242_00_1.jpg
790028468,https://www.carrefour.es/supermercado/mechas-radiantes-m1-nordic-blonde-schwarzkopf-1-ud/R-790028468/p,Mechas radiantes M1 Nordic Blonde Schwarzkopf 1 ud.,9.45,9.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/145744_00_1.jpg
prod860219,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-4-18-chocolate-oleo-intense-syoss-1-ud/R-prod860219/p,Tinte permanente sin amoniaco 4-18 chocolate Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386271_00_1.jpg
828238156,https://www.carrefour.es/supermercado/coloracion-permanente-n-73-rubio-dorado-garnier-olia-1-ud/R-828238156/p,Coloración Permanente nº 7.3 Rubio Dorado Garnier Olia 1 ud.,8.35,8.35 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/962457_00_1.jpg
VC4AECOMM-397708,https://www.carrefour.es/supermercado/champu-retoque-color-rubio-garnier-color-sensation-40-ml/R-VC4AECOMM-397708/p,Champú retoque color rubio Garnier Color Sensation 40 ml.,4.35,10.87 €/100ml,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/397708_00_1.jpg
684403590,https://www.carrefour.es/supermercado/tinte-93-rubio-muy-claro-dorado-garnier-olia-1-ud/R-684403590/p,Tinte 9.3 Rubio muy Claro Dorado Garnier Olia 1 ud.,8.35,8.35 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/073478_00_1.jpg
prod670376,https://www.carrefour.es/supermercado/tinte-bold-740-cobrizo-intenso-garnier-olia-1-ud/R-prod670376/p,Tinte Bold 7.40 Cobrizo Intenso Garnier Olia 1 ud.,8.35,8.35 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/846451_00_1.jpg
520663526,https://www.carrefour.es/supermercado/tinte-creme-n-03-rubio-ultra-claro-ceniza/R-520663526/p,Tinte creme nº 03 Rubio Ultra Claro Ceniza,9.69,4.84 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/051181_00_1.jpg
520663535,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-83-rubio-claro-dorado-llongueras-color-advance-1-ud/R-520663535/p,Tinte de cabello permanente tono 8.3 rubio claro dorado Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/028651_00_1.jpg
VC4AECOMM-110636,https://www.carrefour.es/supermercado/tinte-color-permanente-n-1-negro-0-amoniaco-science-les-cosmetiques-1-ud/R-VC4AECOMM-110636/p,Tinte color permanente nº 1 negro 0% Amoniaco Science Les Cosmétiques 1 ud. ,3.89,3.89 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/110636_00_1.jpg
prod860215,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-6-10-rubio-oscuro-oleo-intense-syoss-1-ud/R-prod860215/p,Tinte permanente sin amoníaco 6-10 rubio oscuro Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386261_00_1.jpg
prod670377,https://www.carrefour.es/supermercado/tinte-bold-426-violeta-electrico-garnier-olia-1-ud/R-prod670377/p,Tinte Bold 4.26 Violeta eléctrico Garnier Olia 1 ud.,8.35,8.35 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/846452_00_1.jpg
VC4AECOMM-064481,https://www.carrefour.es/supermercado/tinte-permanente-n-101-rubio-muy-claro-ceniza-intensive-age-care-color-palette-schwarzkopf-1-ud/R-VC4AECOMM-064481/p,Tinte permanente nº 10.1 rubio muy claro ceniza Intensive Age Care Color Palette Schwarzkopf 1 ud.,5.89,5.89 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/064481_00_1.jpg
VC4AECOMM-110655,https://www.carrefour.es/supermercado/tinte-color-permanente-n-3-castano-oscuro-0-amoniaco-science-les-cosmetiques-1-ud/R-VC4AECOMM-110655/p,Tinte color permanente nº 3 castaño oscuro 0% Amoniaco Science Les Cosmétiques 1 ud.,3.89,3.89 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/110655_00_1.jpg
546101888,https://www.carrefour.es/supermercado/tinte-creme-n-646-rubio-oscuro-cobre-caoba-loreal-excellence-1-ud/R-546101888/p,Tinte creme nº 6.46 Rubio Oscuro Cobre Caoba L'Oréal Excellence 1 ud.,9.69,9.69 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/000959_00_1.jpg
521016336,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-734-rubio-dorado-cobrizo-llongueras-color-advance-1-ud/R-521016336/p,Tinte de cabello permanente tono 7.34 rubio dorado cobrizo Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/555802_00_1.jpg
530014651,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-525-marron-chocolate-llongueras-color-advance-1-ud/R-530014651/p,Tinte de cabello permanente tono 5.25 marrón chocolate Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/790587_00_1.jpg
VC4AECOMM-013753,https://www.carrefour.es/supermercado/tinte-retoca-raices-spray-instantaneo-moreno-science-les-cosmetiques-75-ml/R-VC4AECOMM-013753/p,Tinte retoca raíces spray instantáneo moreno Science Les Cosmétiques 75 ml.,4.89,6.52 €/100ml,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/013753_00_1.jpg
